invSize	invnum	invCsome	invEnd	albsigwins	muesigwins	stesigwins	lobsigwins	type	qalb	qlob	qmue	qste	qlessalb	qlesslob	qlessmue	qlessste
300661	30	Chr05	65255639	0	0	0	0	hap	1	1	1	1	0.97	0.95	0.925	0.975
377420	29	Chr05	65199053	0	0	0	0	intersp	1	1	1	1	0.985	0.94	0.915	0.965
226624	28	Chr05	64773795	0	0	0	0	hap	1	1	1	1	0.97	0.955	0.945	0.96
88087	27	Chr05	56361155	0	0	0	0	intersp	1	1	1	1	0.985	0.965	0.975	0.985
270843	26	Chr05	51598716	0	27	0	0	hap	1	1	0	1	0.975	0.92	1	0.965
770971	25	Chr05	50263435	0	0	0	0	hap	1	1	1	1	0.915	0.82	0.865	0.925
62514	24	Chr05	47314401	0	0	0	0	hap	1	1	1	1	0.985	0.985	0.99	1
3688852	23	Chr05	25523512	2	0	0	52	hap	0.345	0.44	1	1	0.66	0.56	0.5	0.69
641430	22	Chr05	17932775	0	0	0	1	hap	1	0.11	1	1	0.92	0.89	0.9	0.925
321689	21	Chr04	34078472	0	0	0	0	hap	1	1	1	1	0.965	0.94	0.94	0.97
142584	20	Chr04	33548495	0	0	0	0	hap	1	1	1	1	0.98	0.99	0.975	0.97
54002	19	Chr04	29185062	0	0	0	0	hap	1	1	1	1	0.995	0.985	0.99	1
479676	18	Chr04	20129119	0	0	0	0	hap	1	1	1	1	0.945	0.875	0.895	0.94
63239	17	Chr04	19534140	0	0	0	0	hap	1	1	1	1	0.995	0.985	0.985	0.995
2582041	16	Chr03	36728255	13	0	17	10	hap	0.225	0.425	1	0.26	0.775	0.58	0.555	0.74
1087507	15	Chr03	30938930	24	84	84	60	intersp	0.085	0.09	0.055	0.025	0.915	0.915	0.955	0.975
231113	14	Chr03	13381747	0	0	0	0	hap	1	1	1	1	0.985	0.96	0.95	0.97
293281	13	Chr02	68439509	0	0	0	0	intersp	1	1	1	1	0.985	0.97	0.95	1
64527	12	Chr02	51645885	0	1	0	0	intersp	1	1	0.02	1	0.995	0.995	0.99	0.995
112809	11	Chr02	44645013	0	0	0	8	intersp	1	0.015	1	1	0.985	0.985	0.96	0.995
432187	10	Chr02	43253858	0	0	0	0	intersp	1	1	1	1	0.945	0.905	0.915	0.965
235879	9	Chr02	31517355	0	24	0	4	intersp	1	0.06	0	1	0.96	0.94	1	0.95
130218	8	Chr01	7214406	1	2	0	1	hap	0.03	0.025	0.03	1	0.975	0.975	0.97	0.975
188834	7	Chr01	52378704	0	0	0	0	hap	1	1	1	1	0.98	0.975	0.96	0.98
597678	6	Chr01	51882879	30	11	26	17	intersp	0.065	0.11	0.105	0.025	0.94	0.895	0.895	0.975
293317	5	Chr01	51284670	29	29	29	29	hap	0	0	0	0	1	1	1	1
115364	4	Chr01	47965246	0	0	0	11	hap	1	0	1	1	0.97	1	0.965	0.98
591465	3	Chr01	45238069	0	59	0	0	intersp	1	1	0	1	0.935	0.895	1	0.94
67851	2	Chr01	37530799	0	0	0	0	intersp	1	1	1	1	0.985	0.985	0.98	0.98
205246	1	Chr01	354871	0	0	0	0	intersp	1	1	1	1	0.985	0.97	0.96	0.98
